#productid | product_description | warehouse_id | warehous_description | quantity
1729    Chemicals - RCP         3    New Jersey              100
1729    Chemicals - RCP         5    Toronto                 71
1729    Chemicals - RCP         6    Sydney                  58
1729    Chemicals - RCP         7    Mexico City             46
1729    Chemicals - RCP         8    Beijing                 34
1729    Chemicals - RCP         9    Bombay                  23
1733    PS 220V /UK             1    Southlake, Texas        106
1733    PS 220V /UK             2    San Francisco           96
1733    PS 220V /UK             3    New Jersey              88
1733    PS 220V /UK             4    Seattle, Washington     63
1733    PS 220V /UK             5    Toronto                 46
1733    PS 220V /UK             6    Sydney                  29
1733    PS 220V /UK             7    Mexico City             63
1733    PS 220V /UK             8    Beijing                 49
1733    PS 220V /UK             9    Bombay                  35
1734    Cable RS232 10/AM       1    Southlake, Texas        106
1734    Cable RS232 10/AM       2    San Francisco           96
1734    Cable RS232 10/AM       3    New Jersey              88
1734    Cable RS232 10/AM       4    Seattle, Washington     63
1734    Cable RS232 10/AM       5    Toronto                 46
1734    Cable RS232 10/AM       6    Sydney                  30
1734    Cable RS232 10/AM       7    Mexico City             63
1734    Cable RS232 10/AM       8    Beijing                 49
1734    Cable RS232 10/AM       9    Bombay                  35
1737    Cable SCSI 10/FW/ADS    1    Southlake, Texas        106
1737    Cable SCSI 10/FW/ADS    2    San Francisco           96
1737    Cable SCSI 10/FW/ADS    3    New Jersey              89
1737    Cable SCSI 10/FW/ADS    4    Seattle, Washington     63
1737    Cable SCSI 10/FW/ADS    5    Toronto                 47
1737    Cable SCSI 10/FW/ADS    6    Sydney                  30
1737    Cable SCSI 10/FW/ADS    7    Mexico City             63
1737    Cable SCSI 10/FW/ADS    8    Beijing                 49
1737    Cable SCSI 10/FW/ADS    9    Bombay                  36
1738    PS 110V /US             1    Southlake, Texas        107
1738    PS 110V /US             2    San Francisco           96
1738    PS 110V /US             3    New Jersey              89
1738    PS 110V /US             4    Seattle, Washington     64
1738    PS 110V /US             5    Toronto                 47
1738    PS 110V /US             6    Sydney                  30
1738    PS 110V /US             7    Mexico City             63
1738    PS 110V /US             8    Beijing                 50
1738    PS 110V /US             9    Bombay                  36
1739    SDRAM - 128 MB          2    San Francisco           97
1739    SDRAM - 128 MB          4    Seattle, Washington     64
1739    SDRAM - 128 MB          6    Sydney                  30
1739    SDRAM - 128 MB          8    Beijing                 50
1739    SDRAM - 128 MB          9    Bombay                  36
1740    TD 12GB/DAT             2    San Francisco           97
1740    TD 12GB/DAT             4    Seattle, Washington     67
1740    TD 12GB/DAT             6    Sydney                  30
1740    TD 12GB/DAT             8    Beijing                 50
1740    TD 12GB/DAT             9    Bombay                  36
1742    CD-ROM 500/16x          2    San Francisco           97
1742    CD-ROM 500/16x          4    Seattle, Washington     67
1742    CD-ROM 500/16x          6    Sydney                  31
1742    CD-ROM 500/16x          8    Beijing                 50
1742    CD-ROM 500/16x          9    Bombay                  36
1745    Cable SCSI 20/WD->D     1    Southlake, Texas        108
1745    Cable SCSI 20/WD->D     2    San Francisco           98
1745    Cable SCSI 20/WD->D     3    New Jersey              90
1745    Cable SCSI 20/WD->D     4    Seattle, Washington     68
1745    Cable SCSI 20/WD->D     5    Toronto                 48
1745    Cable SCSI 20/WD->D     6    Sydney                  31
1745    Cable SCSI 20/WD->D     7    Mexico City             65
1745    Cable SCSI 20/WD->D     8    Beijing                 51
1745    Cable SCSI 20/WD->D     9    Bombay                  37
1748    PS 220V /EUR            1    Southlake, Texas        108
